,Mean CPU %,Median CPU %,CPU Std Dev,Process Count,Nice Values,Process States
Part 1,68.10625,89.5,39.499089684921856,160,{0: 160},"{'S+': 40, 'R+': 120}"
Part 2,64.42840000000001,72.25,22.614157367454577,250,{0: 250},"{'Z+': 94, 'S+': 20, 'R+': 136}"
Part 3,55.46062500000001,55.7,24.192517171831767,320,{0: 320},"{'Z+': 163, 'S+': 20, 'R+': 137}"
Part 4,50.15461538461539,42.05,30.630841115062015,390,{0: 390},"{'Z+': 240, 'S+': 30, 'R+': 120}"
